DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1665.732,0.013,0.0,90.024,123.4353,8.704,0.0012,3.3447,3.3548,5.1454,5.1766,5.3339,5.5001,6.0055,0.0001,0.0001,6.2654,4.5628,4.5869,3833.3574,0.2888
1665.5796,-0.0055,0.0,89.8751,119.4578,8.704,-0.0007,3.3089,3.3548,5.279,5.3113,5.4744,5.6471,6.1637,0.0001,0.0001,6.4355,4.8022,4.6918,3797.1428,0.3028
1665.4272,-0.0096,0.0,89.8731,114.7784,8.8543,-0.0018,3.3311,3.3452,5.2798,5.3043,5.4712,5.6505,6.1603,0.0001,0.0001,6.4294,4.6742,4.7021,3783.0002,0.3214
1665.2748,0.0061,0.0222,89.9042,111.6798,8.8543,-0.0047,3.3637,3.3973,5.1405,5.1584,5.3276,5.5042,5.9834,0.0001,0.0001,6.2433,4.6374,4.6967,3770.429,0.3317
1665.1224,0.0455,0.0402,90.2526,115.462,8.808,-0.0061,3.4615,3.4258,5.2628,5.3354,5.5266,5.7078,6.199,0.0001,0.0001,6.5507,4.8435,4.7744,3807.7141,0.3078
1664.97,0.0709,0.058,90.4682,115.2969,8.7734,-0.0073,3.3863,3.4385,5.2663,5.3438,5.5361,5.7153,6.194,0.0001,0.0001,6.5472,4.7493,4.7314,3808.1431,0.3019
1664.8176,0.0497,0.0633,90.8976,117.5571,8.7618,-0.0079,3.3757,3.4411,5.0863,5.1751,5.351,5.5171,5.9803,0.0001,0.0001,6.3178,4.5346,4.5766,3773.1428,0.2851
1664.6652,0.0638,0.0655,91.6061,116.8582,8.7502,-0.0082,3.4515,3.4356,5.0276,5.12,5.2865,5.4458,5.9016,0.0001,0.0001,6.2282,4.4687,4.4884,3783.1428,0.308
1664.5128,0.0825,0.074,92.018,117.3727,8.7502,-0.0093,3.4354,3.4618,4.9603,5.0441,5.206,5.3555,5.7982,0.0001,0.0001,6.1003,4.4807,4.4159,3803.6921,0.2952
1664.3604,0.0697,0.081,92.4669,120.2006,8.7502,-0.0068,3.5063,3.5033,4.8674,4.9067,5.0575,5.1997,5.627,0.0001,0.0001,5.8593,4.2907,4.322,3803.0667,0.2877
