DEPT,ROP,GR
163.9824,0.406,42.3887
164.1348,0.478,40.8961
164.2872,0.5877,39.9318
164.4396,0.631,40.294
164.592,0.6303,40.0597
164.7444,0.6165,39.7841
164.8968,0.5999,40.0292
165.0492,0.5893,40.5411
165.2016,0.5913,41.053
165.354,0.6031,41.5649
165.5064,0.6201,42.0768
165.6588,0.6417,42.5887
165.8112,0.6498,43.1006
165.9636,0.6619,43.3333
166.116,0.6726,42.3572
166.2684,0.5963,43.4949
166.4208,0.542,44.7281
166.5732,0.575,44.1465
166.7256,0.5941,42.9159
166.878,0.5998,41.1392
167.0304,0.5996,39.7381
167.1828,0.5903,38.8751
167.3352,0.5813,38.699
167.4876,0.734,38.9389
167.64,0.9029,40.227
167.7924,0.9255,42.4338
167.9448,1.0184,42.8385
168.0972,1.2505,40.6605
168.2496,1.3895,38.4825
168.402,1.1597,36.3045
168.5544,0.9795,35.75
168.7068,0.9956,35.75
168.8592,0.9143,35.4162
169.0116,0.7767,34.9593
169.164,0.7312,34.75
169.3164,0.6858,36.0053
169.4688,0.6403,38.3068
169.6212,0.5949,40.6083
169.7736,0.928,42.9099
169.926,1.2158,43.0
170.0784,1.0027,43.0
170.2308,0.7542,43.968
170.3832,0.6487,43.7476
170.5356,0.5786,43.5273
170.688,0.5662,43.3069
170.8404,0.5685,41.6
170.9928,0.5727,41.6
171.1452,0.5801,41.1881
171.2976,0.5657,45.9202
171.45,0.5135,50.6524
171.6024,0.4848,52.3972
171.7548,0.5276,51.4
171.9072,0.5673,49.8871
172.0596,0.5737,46.7239
172.212,0.575,43.5406
172.3644,0.5765,40.3572
172.5168,0.5776,37.1738
172.6692,0.5505,37.2181
172.8216,0.4737,37.6
172.974,0.4577,37.663
173.1264,0.5167,39.4299
173.2788,0.5427,41.295
173.4312,0.5464,43.1601
173.5836,0.5527,45.0252
173.736,0.5556,43.8364
173.8884,0.5536,43.5364
174.0408,0.5496,41.0975
174.1932,0.5457,41.5994
174.3456,0.5422,42.9275
174.498,0.5411,42.0455
174.6504,0.5448,42.2273
174.8028,0.547,42.6439
174.9552,0.5158,43.8224
175.1076,0.4553,49.4782
175.26,0.4117,55.1341
175.4124,0.4096,56.1951
175.5648,0.4509,52.536
175.7172,0.5173,48.877
175.8696,0.5462,45.9772
176.022,0.5032,47.0
176.1744,0.4414,47.3504
176.3268,0.4113,49.8504
176.4792,0.4051,52.3609
176.6316,0.3993,53.1864
176.784,0.3967,52.5955
176.9364,0.6625,50.9652
177.0888,1.2514,49.583
177.2412,1.0293,49.8
177.3936,0.5494,52.213
177.546,0.5129,54.9695
177.6984,0.4398,55.9718
177.8508,0.3818,55.5385
178.0032,0.3605,56.1039
178.1556,0.3583,56.3932
178.308,0.3661,55.2145
178.4604,0.3738,53.2983
178.6128,0.3816,51.4983
178.7652,0.3893,53.3928
178.9176,0.3971,55.1323
179.07,0.4048,56.2726
179.2224,0.3732,56.5459
179.3748,0.3427,51.273
179.5272,0.3585,46.273
179.6796,0.3994,45.4
179.832,0.4627,43.5682
179.9844,0.6536,42.3182
180.1368,0.8855,40.7228
180.2892,0.9437,40.9783
180.4416,1.03,42.5752
180.594,1.0272,43.5704
180.7464,0.8887,43.0
180.8988,0.8943,44.9521
181.0512,1.0782,47.2262
181.2036,1.0694,50.0
181.356,0.916,47.6935
181.5084,0.8238,44.5157
181.6608,0.8091,41.5092
181.8132,0.8226,41.7214
181.9656,0.8999,44.0438
182.118,1.3176,46.4172
182.2704,1.3349,46.8
182.4228,0.9858,43.4244
182.5752,0.8781,39.9244
182.7276,0.9233,37.4119
182.88,0.8697,38.8333
183.0324,0.7582,39.3449
183.1848,0.7384,41.1997
183.3372,0.8226,42.1147
183.4896,0.8289,40.9994
183.642,0.7798,39.884
183.7944,0.7643,40.0
183.9468,0.7291,41.2999
184.0992,0.7333,43.1701
184.2516,0.8018,43.8571
184.404,0.7376,44.5644
184.5564,0.6682,46.612
184.7088,0.697,48.6596
184.8612,0.6668,49.5514
185.0136,0.6684,48.2527
185.166,0.7652,46.8637
185.3184,0.8687,46.1111
185.4708,1.0653,46.0152
185.6232,1.0877,46.7249
185.7756,0.9453,46.4111
185.928,0.9555,46.1429
186.0804,0.9107,46.1429
186.2328,0.8246,45.0892
186.3852,0.9496,44.8429
186.5376,1.1858,44.2965
186.69,1.1329,43.5714
186.8424,0.8041,43.5116
186.9948,0.6122,43.1004
187.1472,0.5515,42.6891
187.2996,0.5163,42.5714
187.452,0.5217,42.7878
187.6044,0.5236,43.322
187.7568,0.5308,43.5303
187.9092,0.6069,45.1796
188.0616,0.7101,45.4444
188.214,0.7134,45.5599
188.3664,0.6479,45.8784
188.5188,0.5825,46.2031
188.6712,0.6496,46.2857
188.8236,0.7531,46.5745
188.976,0.7801,44.918
189.1284,0.7179,42.8232
189.2808,0.628,41.8571
189.4332,0.5639,42.5428
189.5856,0.5685,44.1142
189.738,0.6189,44.5
189.8904,0.5381,44.5173
190.0428,0.4486,45.0292
190.1952,0.496,45.8685
190.3476,0.5292,46.5696
190.5,0.4938,46.9659
190.6524,0.5284,48.0597
190.8048,0.6356,49.2175
190.9572,0.6528,48.9943
191.1096,0.5274,48.7711
191.262,0.4442,49.375
191.4144,0.4488,51.8515
191.5668,0.4867,52.1169
191.7192,0.4604,51.5475
191.8716,0.4203,52.0955
192.024,0.4174,50.1327
192.1764,0.3948,47.3992
192.3288,0.3556,47.7597
192.4812,0.3802,48.2625
192.6336,0.445,48.727
192.786,0.472,50.818
192.9384,0.4666,51.6753
193.0908,0.487,52.4
193.2432,0.5151,50.9471
193.3956,0.5134,48.8637
193.548,0.5091,46.7804
193.7004,0.4969,47.4286
193.8528,0.456,48.5573
194.0052,0.4213,50.0121
194.1576,0.4123,49.8941
194.31,0.4176,49.5152
194.4624,0.4247,50.0416
194.6148,0.4149,50.2423
194.7672,0.4184,51.3376
194.9196,0.4311,53.0042
195.072,0.4262,52.8
195.2244,0.4152,51.9165
195.3768,0.4092,52.0885
195.5292,0.4121,51.0404
195.6816,0.4179,52.4155
195.834,0.4522,54.2905
195.9864,0.5601,55.2245
196.1388,0.6928,56.505
196.2912,0.733,57.1399
196.4436,0.6609,55.4418
196.596,0.5946,55.1429
196.7484,0.5361,51.8996
