DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1162.66,2464.812,8.765,8.5,116.072,101.018,118.454,2.788,19.055,0.092,7.264,1.4,0.308,0.0,11.436,0.307,27.708,117.578,4.065,1.866,15.009,0.298,107.612,2.309
1162.812,2419.749,8.803,8.5,116.757,106.486,118.581,2.788,18.957,0.091,7.337,1.383,0.321,0.0,11.453,0.32,27.696,115.196,4.239,1.997,14.95,0.294,106.115,2.309
1162.964,2392.938,8.889,8.5,118.179,107.011,112.342,2.805,18.757,0.089,7.332,1.425,0.313,0.0,11.339,0.314,27.354,114.8,4.222,1.994,14.796,0.302,105.933,2.308
1163.117,2378.867,8.88,8.5,117.146,104.725,122.028,2.839,18.284,0.089,7.26,1.388,0.321,0.001,11.021,0.321,26.483,115.678,4.107,1.929,14.401,0.322,108.568,2.31
1163.269,2381.374,8.88,8.5,120.4,102.405,116.02,2.857,18.597,0.09,7.304,1.456,0.337,0.012,11.16,0.335,26.862,115.923,4.04,1.865,14.631,0.313,99.715,2.312
1163.422,2385.124,8.905,8.5,121.155,94.885,123.285,2.854,19.452,0.09,7.571,1.479,0.327,0.011,11.644,0.323,28.112,115.328,4.182,1.929,15.25,0.312,98.548,2.31
1163.574,2420.938,8.899,8.5,120.998,92.871,124.004,2.809,20.264,0.091,7.838,1.515,0.324,0.013,12.095,0.321,29.349,115.131,4.356,2.025,15.83,0.319,85.502,2.301
1163.726,2419.5,8.975,8.5,122.514,93.366,116.106,2.792,20.571,0.088,7.919,1.389,0.336,0.009,12.231,0.334,29.762,115.121,4.379,2.029,16.033,0.341,94.274,2.284
1163.879,2474.187,9.014,8.5,120.112,96.396,127.238,2.797,20.142,0.084,7.613,1.241,0.37,0.023,11.896,0.37,29.001,116.865,4.112,1.866,15.601,0.344,100.088,2.279
1164.031,2457.312,9.033,8.5,122.852,94.681,117.516,2.811,19.835,0.084,7.387,1.225,0.357,0.04,11.638,0.357,28.697,117.204,4.037,1.853,15.308,0.351,94.909,2.276
