DEPT,GR,T-TEMP
164.2872,67.3855,27.5591
164.4396,66.6029,27.5591
164.592,67.6586,27.5591
164.7444,67.7476,27.5591
164.8968,67.6667,27.5591
165.0492,68.7406,27.5591
165.2016,69.2307,27.5591
165.354,69.5,27.5591
165.5064,70.8157,27.5591
165.6588,68.9444,27.5591
165.8112,67.0732,27.5591
165.9636,68.4413,27.5591
166.116,67.6264,27.5591
166.2684,67.4383,27.5591
166.4208,67.3377,27.5591
166.5732,66.4109,27.5591
166.7256,65.5947,27.5591
166.878,65.1022,27.5591
167.0304,67.229,27.5591
167.1828,69.119,27.5591
167.3352,69.4106,27.5591
167.4876,67.882,27.5591
167.64,65.9561,27.5591
167.7924,65.5448,27.5591
167.9448,67.3753,27.5591
168.0972,69.9751,27.5591
168.2496,70.4,27.5591
168.402,68.3634,27.5591
168.5544,64.0907,27.5591
168.7068,62.6906,27.5591
168.8592,65.619,27.5591
169.0116,67.0264,27.5591
169.164,69.0,27.5591
169.3164,68.9362,27.5591
169.4688,70.714,27.5591
169.6212,72.0,27.5591
169.7736,72.4776,27.5591
169.926,73.1834,27.5591
170.0784,71.5,27.5591
170.2308,71.2477,27.5591
170.3832,70.9377,27.5591
170.5356,70.5567,27.5591
170.688,70.0,27.5591
170.8404,70.0,27.5591
170.9928,70.9317,27.5591
171.1452,70.5,27.5591
171.2976,70.2857,27.5591
171.45,70.3697,27.5591
171.6024,70.4795,27.5591
171.7548,72.0,27.5591
171.9072,71.9729,27.5591
172.0596,71.619,27.5591
172.212,71.0692,27.5591
172.3644,70.9339,27.5591
172.5168,70.5959,27.5591
172.6692,70.1269,27.5591
172.8216,69.6579,27.5591
172.974,69.3333,27.5591
173.1264,69.409,27.5591
173.2788,69.8711,27.5591
173.4312,71.2195,27.5591
173.5836,73.0,27.5591
173.736,72.3784,27.5591
173.8884,73.5074,27.5591
174.0408,74.0881,27.5591
174.1932,73.6667,27.5591
174.3456,73.8155,27.5591
174.498,71.6395,27.5591
174.6504,70.8571,27.5591
174.8028,68.4444,27.5591
174.9552,69.2212,27.5591
175.1076,70.4779,27.5591
175.26,70.7766,27.5591
175.4124,71.7495,27.5591
175.5648,74.5421,27.5591
